iter	Passed	Remaining
0	1292	1291101
1	2694	1344588
2	3776	1254982
3	4786	1191914
4	5989	1191852
5	7121	1179860
6	8257	1171326
7	9243	1146147
8	10248	1128486
9	11221	1110912
10	12361	1111388
11	13361	1100087
12	14291	1085048
13	15311	1078335
14	16308	1070903
15	17291	1063411
16	18315	1059045
17	19249	1050183
18	20217	1043869
19	21296	1043531
20	22371	1042940
21	23425	1041372
22	24372	1035283
23	25380	1032134
24	26324	1026655
25	27399	1026429
26	28334	1021079
27	29279	1016409
28	30260	1013219
29	31217	1009362
30	32187	1006131
31	33108	1001517
32	34000	996311
33	35056	996021
34	36296	1000734
35	37225	996814
36	38522	1002632
37	39575	1001877
38	40863	1006928
39	41858	1004605
40	42862	1002565
41	43942	1002298
42	44833	997812
43	45688	992691
44	46536	987600
45	47428	983619
46	48335	980072
47	49271	977224
48	50277	975788
49	51337	975417
50	52338	973911
51	53296	971639
52	54280	969872
53	55418	970848
54	56487	970555
55	57396	967548
56	58249	963673
57	59101	959884
58	59954	956230
59	60828	952975
60	61737	950356
61	62615	947315
62	63635	946453
63	64531	943774
64	65503	942239
65	66489	940922
66	67361	938034
67	68305	936184
68	69317	935284
69	70161	932150
70	71057	929751
71	72039	928504
72	72966	926568
73	73782	923275
74	74769	922161
75	75621	919392
76	76565	917793
77	77603	917315
78	78487	915019
79	79340	912421
80	80233	910308
81	81203	909078
82	82110	907174
83	83110	906302
84	84195	906340
85	85067	904086
86	85879	901236
87	86868	900272
88	87785	898567
89	88827	898140
90	89755	896570
91	90690	895079
92	91667	894002
93	92621	892711
94	93797	893547
95	94935	893974
96	95906	892822
97	96814	891090
98	97802	890098
99	98777	888997
100	99729	887692
101	100803	887465
102	101763	886231
103	102891	886451
104	105321	897737
105	106310	896618
106	107394	896288
107	108452	895733
108	109485	894969
109	110405	893279
110	111363	891912
111	112196	889557
112	113006	887053
113	114007	886055
114	114995	884967
115	115905	883277
116	116855	881908
117	117723	879932
118	118607	878093
119	119405	875639
120	120364	874383
121	121166	872003
122	121951	869525
123	122935	868480
124	124014	868098
125	124960	866790
126	125826	864930
127	127528	868790
128	128624	868462
129	129720	868129
130	130793	867631
131	132160	869052
132	133093	867606
133	133964	865772
134	134857	864089
135	135775	862575
136	136673	860943
137	137687	860048
138	138572	858350
139	139421	856444
140	140336	854958
141	141196	853147
142	142203	852226
143	143133	850849
144	144188	850216
145	145273	849747
146	146139	848008
147	147185	847312
148	147994	845260
149	148869	843592
150	149746	841952
151	150598	840182
152	151578	839130
153	152447	837471
154	153233	835369
155	154097	833704
156	155127	832945
157	155926	830949
158	156857	829669
159	157846	828692
160	158802	827548
161	159684	826020
162	160751	825452
163	161758	824571
164	162631	823014
165	163669	822288
166	164692	821491
167	165812	821166
168	166650	819449
169	167574	818157
170	168569	817219
171	169502	815979
172	170392	814536
173	171330	813327
174	172178	811698
175	173146	810642
176	174098	809509
177	175059	808422
178	175969	807098
179	176849	805648
180	177980	805339
181	178869	803930
182	179673	802149
183	180660	801189
184	181678	800369
185	182624	799228
186	183474	797671
187	184505	796908
188	185425	795663
189	186357	794471
190	187314	793388
191	188171	791888
192	189234	791254
193	190151	790010
194	191064	788755
195	192024	787690
196	192919	786367
197	193764	784843
198	194671	783576
199	195646	782587
200	196690	781870
201	197739	781168
202	198746	780300
203	199771	779501
204	201015	779546
205	201869	778079
206	203005	777696
207	203906	776414
208	204653	774551
209	205544	773236
210	206388	771757
211	207280	770458
212	208200	769267
213	209080	767930
214	209949	766561
215	210866	765365
216	211875	764508
217	212869	763596
218	213829	762562
219	214859	761776
220	215784	760615
221	216652	759260
222	217776	758797
223	218574	757205
224	219420	755782
225	220374	754735
226	221290	753557
227	222234	752477
228	223207	751496
229	224183	750526
230	225168	749588
231	226088	748429
232	226908	746948
233	227653	745226
234	228532	743945
235	229459	742824
236	230386	741709
237	231191	740201
238	232195	739333
239	233063	738034
240	234083	737218
241	235183	736648
242	236050	735350
243	236976	734239
244	238048	733577
245	238910	732271
246	239751	730902
247	240643	729694
248	241653	728842
249	242465	727396
250	243294	726006
251	244099	724549
252	244970	723291
253	245838	722028
254	246771	720959
255	247679	719817
256	248476	718356
257	249428	717347
258	250200	715824
259	250969	714298
260	251842	713072
261	252846	712216
262	253794	711203
263	254567	709703
264	255865	709665
265	256701	708341
266	257458	706804
267	258348	705638
268	259193	704350
269	260149	703366
270	261417	703221
271	262246	701894
272	263401	701439
273	264477	700769
274	265320	699481
275	266308	698577
276	267248	697547
277	268084	696249
278	268994	695142
279	269911	694056
280	270906	693174
281	271866	692199
282	272914	691447
283	273825	690349
284	274676	689099
285	275708	688307
286	276735	687500
287	277727	686603
288	278679	685608
289	279514	684327
290	280519	683465
291	281307	682073
292	282178	680887
293	282953	679474
294	283815	678271
295	284675	677067
296	285529	675850
297	286605	675156
298	287690	674485
299	288654	673526
300	289660	672667
301	290497	671413
302	291393	670301
303	292243	669083
304	293219	668156
305	294125	667069
306	295022	665962
307	295897	664808
308	296632	663342
309	297520	662222
310	298423	661137
311	299458	660345
312	300296	659116
313	301183	657999
314	302274	657326
315	303211	656317
316	304102	655212
317	305160	654464
318	306050	653356
319	306935	652237
320	307959	651416
321	308794	650193
322	309654	649028
323	310631	648107
324	311519	647001
325	312250	645573
326	313330	644865
327	314270	643870
328	315202	642860
329	316006	641589
330	316850	640400
331	317744	639316
332	318754	638466
333	319725	637537
334	320625	636465
335	321456	635259
336	322448	634371
337	323550	633700
338	324461	632652
339	325543	631936
340	326511	631000
341	327355	629824
342	328168	628591
343	329238	627849
344	330230	626960
345	331301	626216
346	332453	625625
347	333581	624986
348	334818	624545
349	335782	623596
350	336676	622515
351	337670	621620
352	338458	620346
353	339395	619347
354	340419	618507
355	341132	617104
356	341913	615827
357	342702	614567
358	343636	613567
359	344543	612521
360	345523	611605
361	346491	610667
362	347427	609672
363	348315	608594
364	349197	607507
365	350124	606500
366	351042	605477
367	351900	604351
368	352858	603397
369	353931	602640
370	354730	601416
371	355646	600392
372	356544	599338
373	357343	598120
374	358156	596927
375	358992	595775
376	359996	594901
377	360899	593860
378	361766	592762
379	362662	591712
380	363728	590939
381	364702	590015
382	365630	589018
383	366506	587937
384	367306	586736
385	368103	585532
386	369115	584670
387	369947	583525
388	370776	582376
389	371681	581348
390	372391	580016
391	373234	578894
392	374348	578192
393	375296	577231
394	376203	576211
395	377111	575189
396	378052	574220
397	379139	573472
398	380193	572671
399	381269	571903
400	382071	570724
401	382871	569544
402	383790	568543
403	384605	567388
404	385659	566586
405	386606	565625
406	387528	564630
407	388613	563871
408	389702	563115
409	390757	562309
410	391793	561475
411	392676	560422
412	393631	559471
413	394638	558595
414	395578	557622
415	396431	556528
416	397360	555542
417	398316	554594
418	399124	553440
419	400092	552508
420	401007	551503
421	401853	550406
422	402883	549560
423	404007	548839
424	404820	547698
425	405761	546730
426	406835	545941
427	407850	545070
428	408708	543992
429	409845	543283
430	410650	542135
431	411469	541006
432	412342	539949
433	413357	539079
434	414339	538164
435	415230	537133
436	416249	536266
437	417151	535249
438	418125	534324
439	418942	533199
440	419808	532137
441	420688	531095
442	421451	529905
443	422332	528866
444	423138	527734
445	423989	526659
446	424822	525563
447	425777	524618
448	426712	523649
449	427872	522955
450	428737	521900
451	429628	520876
452	430764	520149
453	431723	519208
454	432588	518155
455	433415	517056
456	434487	516250
457	435367	515216
458	436129	514044
459	437245	513287
460	438066	512186
461	439065	511292
462	439940	510255
463	440983	509411
464	441854	508370
465	442886	507513
466	443651	506352
467	444450	505229
468	445384	504262
469	446223	503188
470	447049	502100
471	447990	501141
472	448774	500008
473	449918	499276
474	450839	498296
475	451707	497258
476	452665	496318
477	453572	495324
478	454520	494373
479	455524	493485
480	456293	492341
481	457085	491225
482	457942	490178
483	458710	489038
484	459551	487977
485	460522	487055
486	461449	486085
487	462219	484951
488	463122	483957
489	463945	482881
490	464887	481930
491	465739	480885
492	466440	479685
493	467260	478610
494	468124	477582
495	469076	476642
496	470067	475742
497	471020	474803
498	471999	473890
499	473226	473226
500	474070	472178
501	474903	471119
502	475751	470076
503	476682	469116
504	477793	468332
505	478548	467199
506	479532	466291
507	480504	465370
508	481424	464399
509	482448	463528
510	483276	462470
511	484090	461398
512	485070	460486
513	485967	459494
514	486755	458400
515	487587	457349
516	488742	456600
517	489549	455526
518	490422	454514
519	491299	453507
520	492232	452551
521	493196	451624
522	494085	450628
523	494943	449605
524	495981	448745
525	496959	447830
526	498058	447023
527	499052	446122
528	499872	445065
529	500848	444149
530	501788	443199
531	502564	442105
532	503719	441345
533	504730	440457
534	505589	439437
535	506597	438546
536	507418	437495
537	508242	436446
538	509190	435504
539	510030	434470
540	511196	433714
541	512099	432733
542	512917	431681
543	513921	430786
544	514869	429845
545	515932	428998
546	516772	427966
547	517656	426971
548	518480	425928
549	519236	424830
550	520126	423841
551	521150	422962
552	521966	421914
553	522938	420993
554	523817	419997
555	524657	418970
556	525376	417849
557	526178	416793
558	527131	415859
559	527925	414798
560	528787	413793
561	529551	412710
562	530419	411711
563	531275	410702
564	532066	409644
565	533018	408710
566	533875	407704
567	534614	406607
568	535368	405525
569	536335	404604
570	537072	403509
571	537884	402473
572	538652	401404
573	539389	400313
574	540171	399256
575	541065	398284
576	541875	397249
577	542670	396205
578	543540	395216
579	544433	394245
580	545504	393401
581	546501	392504
582	547233	391417
583	548187	390489
584	549262	389647
585	550319	388792
586	551328	387902
587	552222	386931
588	552982	385867
589	554028	385002
590	554929	384037
591	555953	383157
592	557019	382305
593	557857	381296
594	558815	380369
595	559607	379331
596	560374	378276
597	561309	377335
598	562209	376370
599	562969	375312
600	563910	374376
601	564706	373344
602	565550	372343
603	566258	371255
604	567130	370275
605	567722	369113
606	568213	367888
607	568807	366730
608	569428	365593
609	569890	364356
610	570420	363164
611	570928	361961
612	571455	360771
613	572105	359662
614	572673	358503
615	573309	357387
616	573853	356217
617	574408	355054
618	575111	353986
619	575774	352893
620	576438	351803
621	577071	350696
622	577786	349639
623	578439	348546
624	579063	347437
625	579905	346461
626	580612	345404
627	581281	344326
628	581912	343226
629	582701	342221
630	583444	341190
631	584158	340142
632	584866	339093
633	585478	337989
634	586091	336887
635	586810	335847
636	587435	334755
637	588011	333636
638	588669	332566
639	589540	331616
640	590218	330558
641	591036	329581
642	591716	328526
643	592380	327465
644	593010	326385
645	593808	325399
646	594452	324330
647	595057	323241
648	596091	322385
649	596751	321327
650	597447	320290
651	598145	319255
652	598880	318241
653	599546	317191
654	600421	316252
655	601113	315217
656	601910	314239
657	602562	313186
658	603391	312225
659	604031	311167
660	604757	310155
661	605702	309255
662	606441	308251
663	607141	307228
664	607892	306231
665	608571	305199
666	609142	304114
667	610070	303208
668	611013	302310
669	611905	301386
670	612727	300428
671	613514	299453
672	614300	298478
673	615628	297766
674	616698	296929
675	617561	295991
676	618445	295063
677	619426	294181
678	620213	293208
679	621150	292306
